FIPS,State,County,Child_Mortality_Rate,Infant_Mortality_Rate,pct_Diabetic,HIV_Prevalence_Rate,pct_Food_Insecure,pct_Limited_Access_to_healthy_foods,Drug_Overdose_Mortality_Rate,MV_Mortality_Rate,pct_Insufficient_Sleep,Household_Income,pct_Homeowners,pct_African_American,pct_American_Indian_Alaskan_Native,pct_Asian,pct_Native_Hawaiian_Other_Pacific_Islander,pct_Hispanic,pct_Non_Hispanic_White,level_0,pct_Fair_Poor,Physically_Unhealthy_Days,Mentally_Unhealthy_Days,pct_LBW,pct_Smokers,pct_Obese,Food_Environment_Index,pct_Physically_Inactive,pct_access_excercise,pct_Excessive_Drinking,pct_Alcohol_Impaired,Chlamydia_Rate,Teen_Birth_Rate,pct_Uninsured,PCP_Rate,Dentist_Rate,MHP_Rate,Preventable_Hosp._Rate,pct_Screened,pct_Vaccinated,Graduation_Rate,pct_Some_College,pct_Unemployed,pct_Children_in_Poverty,Income_Ratio,Violent_Crime_Rate,Injury_Death_Rate,Average_Daily_PM2.5,Presence_of_violation,pct_Severe_Housing_Problems,Case_Rate,Death_Rate
05131,Arkansas,Sebastian,57.251138975,6.1867736811,12.7,199.6,16.1,3.7199051731,15.898665555,10.423333023,32.810736931,44058,59.774159559,6.5187694661,2.3058849243,4.7319818589,0.2123225117,14.395778529,69.411507568,226,21.723827628,4.8294583063,4.8370374416,7.6745907707,21.824217096,33.6,7.5,29.8,79.014505662,14.094759286,27.083333333,456.3,45.518207283,11.877772765,127.55002,74.15676,318.48377,4332.0,41.0,43.0,87.829614604,51.976412052,3.607760881,25.9,4.7184941773,635.56239012,64.283676023,10.6,Yes,16.165792658,449.0,183.8
05133,Arkansas,Sevier,66.323146778,7.636473050348833,13.6,80.7,12.0,11.16325892,18.51183033928003,29.02709472,34.87972941,41649,75.267379679,3.8212094654,3.4589541338,0.5901256208,0.8705813614,33.777388256,57.0084721,227,26.629959934,5.1859636122,4.8540988383,6.6595059076,20.94763244,35.0,7.5,34.1,56.184781334,14.277653417,15.789473684,381.7,62.064156206,18.804613771,47.30928,35.05697,52.58545,7334.0,30.0,49.0,92.237442922,37.888052681,4.5132743363,29.5,4.2244444444,216.05738484,72.003437583,9.9,Yes,15.967078189,356.0,176.2
05135,Arkansas,Sharp,69.19972578471497,7.636473050348833,16.6,76.1,16.9,10.183020032,21.374995142,31.706034993,34.149916732,34266,73.464912281,0.7704248836,1.0348990973,0.5289484275,0.0517449549,2.1847869833,93.583625597,228,24.245757622,5.174332734,5.1615645512,9.1254752852,21.656755473,39.2,6.7,33.3,48.957367933,12.739419099,32.0,207.0,53.341700659,10.238853503,29.14262,22.99776,178.23262,4364.0,34.0,38.0,97.727272727,45.513413506,4.9223653783,37.0,4.2336818861,320.0813873052036,115.90198672,10.0,Yes,15.611814346,442.3,183.2
05137,Arkansas,Stone,131.53900637,7.636473050348833,17.1,93.2,17.1,13.569732161,18.51183033928003,21.622113732,33.885288796,32778,77.189409369,0.3748903246,0.8933556672,0.4466778336,0.0319055595,2.0658849805,94.544149318,229,24.254059707,5.3172852696,5.3307433873,7.9069767442,20.971926626,36.4,6.4,36.3,57.503630789,13.184210475,9.5238095238,112.4,51.464435146,11.232725263,47.85071,23.92917,63.811119999999995,5168.0,32.0,50.0,94.915254237,46.917808219,4.7441475036,33.3,4.9398933592,239.33942319,103.8222563,9.6,No,12.451361868,429.6,174.7
05139,Arkansas,Union,78.078234391,8.6616373289,13.7,355.7,20.5,13.486798201,18.51183033928003,19.809335149,35.989917055,43827,73.457285811,32.576237674,0.560216989,0.7275216102,0.0532332885,4.1116378108,60.863393242,230,24.416024065,4.8069158437,5.0792266661,9.9203077769,19.985623259,40.7,5.8,33.8,48.04870434,13.605604241,25.0,675.1,49.547962898,8.6157151627,65.18415,45.62853,177.4443,5219.0,31.0,41.0,88.316151203,53.42848278,5.2856611724,24.9,5.514043319,583.01047675,87.324913548,9.8,Yes,16.812821288,482.2,211.0
05141,Arkansas,Van Buren,75.103266992,7.636473050348833,14.3,262.4908230842007,16.3,6.0982411173,20.038072337,33.106679909,31.235499038,36244,77.005970584,0.5573730765,0.9511692718,0.3574457773,0.024233612,2.9625590694,93.662910457,231,21.364744716,4.8765752352,4.976285151,7.5982532751,20.166026657,38.0,7.2,29.6,57.427002024,13.27730549,25.0,161.0,51.690507152,10.612611143,12.0279,36.35042,66.64243,3051.0,35.0,35.0,93.442622951,37.274074074,5.4196091312,28.2,4.7783372063,277.78607485,114.71178664,9.8,No,13.372093023,485.2,166.2
05143,Arkansas,Washington,56.323786378,6.6346573549,10.2,162.1,14.3,6.0605246591,7.8772089007,12.259544282,34.305670412,50400,53.316362775,3.297901688,1.5508888084,2.6858221693,2.3927136675,16.843393852,71.340885188,232,19.672970161,4.093646217,4.2756762698,7.9858500995,20.689746303,31.0,7.6,25.2,86.521557137,17.577602019,30.357142857,614.3,30.010416839,12.309191629,81.99992,62.07004,362.93729,3935.0,41.0,46.0,87.382419721,60.855809539,2.5316973081,16.8,4.6568162413,454.59715024,53.886796755,9.9,No,16.782917279,451.7,169.3
05145,Arkansas,White,96.221951969,10.369504893,13.1,105.3,16.3,5.2108270671,16.846361186,20.320224974,34.971862215,44088,67.193757059,4.3965779083,0.6479700314,0.7719955452,0.0696061557,4.3522830819,88.111268604,233,21.936489989,4.6269662009,4.799000565,7.8356566398,19.405507024,35.6,7.3,30.6,54.717421766,15.162278549,32.876712329,433.3,35.747883349,8.6429089076,49.203289999999996,31.63916,161.99251,6783.0,29.0,45.0,86.272439282,53.203313411,4.5252883762,21.0,4.9989460839,344.45365823,84.914388553,10.5,Yes,14.079238225,496.3,201.8
05147,Arkansas,Woodruff,69.19972578471497,7.636473050348833,16.3,105.1,22.0,2.6331842732,18.51183033928003,26.935189789,36.061898475,32271,65.831593598,25.97778116,0.5326434333,0.2891492923,0.076091919,1.7196773703,69.913255212,234,24.908636114,5.1045265876,5.0832257034,7.6635514019,21.873795864,37.8,6.5,35.1,23.016528926,12.231115799,28.571428571,504.4,53.350683149,10.779634049,45.17392,45.65515,76.09192,7303.0,31.0,22.0,89.855072464,39.321074965,4.8474576271,39.3,6.2597945325,161.01880992,97.244732577,10.1,No,14.776632302,571.6,208.2
05149,Arkansas,Yell,74.703520403,7.636473050348833,13.3,117.9,12.9,5.4867047021,18.51183033928003,19.656148443,37.136980695,40325,70.88021178,1.6215211634,1.0732704549,1.314872462,0.0696928867,20.415369605,75.040654184,235,24.505194442,5.1515733809,4.8914859898,7.6883384933,20.773897615,40.3,7.9,35.2,53.8336714,14.168300994,50.0,271.7,51.449571254,12.852002056,55.67929000000001,27.87715,18.58477,11261.0,27.0,35.0,87.328767123,40.949554896,4.0,27.8,4.5408411908,333.9936426,77.325281685,10.1,Yes,15.74495771,465.7,201.7
45001,South Carolina,Abbeville,71.113639596,11.441647597,16.7,254.2,15.3,0.5918238395,17.443576738,22.316319524,36.083828134,41118,77.044293015,27.586764825,0.3114634738,0.3721381765,0.0202249009,1.4602378448,69.023541785,237,20.668774434,4.5655196599,4.6291482398,9.1224018476,17.433444607,39.2,7.9,31.9,63.276547193,15.604429666,41.935483871,328.9,31.28222757,12.105068833,48.24702,12.134939999999999,60.6747,2481.0,45.0,34.0,87.665198238,51.906779661,4.582797189,27.9,4.7570448338,341.19308921,83.535478482,10.4,No,14.673629243,427.9,183.8
45003,South Carolina,Aiken,60.783215637,7.8111587983,12.9,284.8,13.0,7.2779398153,22.932761144,18.285987647,36.305486834,51583,72.270672572,24.827713329,0.586874699,1.0155845855,0.0654065014,5.7742048651,66.16878445,238,16.875575874,3.9450161367,4.2066604383,9.3039283253,16.972803949,32.6,7.7,24.7,69.202805764,17.546311567,36.0,521.0,32.534685621,11.757090563,35.23272,38.649300000000004,134.38063,4560.0,46.0,49.0,89.9494311,54.753573928,4.1052094248,23.1,4.7284132841,453.0783204,89.595915197,11.3,No,13.217172906,396.4,166.2
